Train_On,Test_On,Model,Accuracy,F1-Score,Precision,Recall,AUC-ROC
ISOT,LIAR,SVM,0.5498,0.1997867045858514,0.46677740863787376,0.12709181365897784,0.5040711238942028
ISOT,LIAR,LogisticRegression,0.55,0.21328671328671328,0.4699537750385208,0.13794663048394393,0.5033882382474667
ISOT,LIAR,RandomForest,0.4932,0.5312615612282648,0.449452269170579,0.6494798733604704,0.5292375113902115
ISOT,LIAR,Ensemble,0.5482,0.23449678075228736,0.46756756756756757,0.15649027589326098,0.5144491694531028
LIAR,ISOT,SVM,0.57,0.1281427412814274,0.8926553672316384,0.0690257754477938,0.45097727347075056
LIAR,ISOT,LogisticRegression,0.5658,0.14628391663389698,0.7322834645669292,0.08125819134993446,0.4680334910487974
LIAR,ISOT,RandomForest,0.5734,0.21953896816684962,0.6756756756756757,0.1310615989515072,0.5960385975039154
LIAR,ISOT,Ensemble,0.5706,0.1268808458723058,0.9176470588235294,0.06815203145478375,0.5037822221298307
